"Scholl","W.L.","Operating.Expenses.per.Team.Men.s.Team","Revenues.Men.s.Team","Expenses.Men.s.Team","Coference","clustergroup"
"132","Ohio State ",0.571,2578786,24953122,10996364,"Big Ten Conference",1
"133","Princeton",0.571,301476,1342776,1342776,"The Ivy League",2
"134","Texas",0.568,1758071,16493236,11649912,"Big 12 Conference",3
"135","Tulsa",0.563,959473,6196308,6196308,"American Athletic Conference",4
"136","Florida ",0.556,1975457,11943413,9317385,"Southeastern Conference",3
"137","Presbyterian",0.556,279822,1330762,1330762,"Big South Conference",2
"138","Green Bay",0.553,528274,1874827,1874827,"Horizon League",2
"139","Nevada-Las Vegas",0.548,1059706,5795483,5795483,"Mountain West Conference",4
"140","Utah",0.548,1252177,10511632,8965613,"Pac-12 Conference",3
"141","George Mason",0.545,924371,4287689,4287689,"Atlantic 10 Conference",2
"142","Hartford",0.545,431992,2303817,2303817,"America East Conference",2
"143","Purdue-Fort Wayne",0.545,535831,1700944,1700944,"The Summit League",2
"144","Rhode Island",0.545,1615011,4799098,4745208,"Atlantic 10 Conference",4
"145","Saint Francis (PA)",0.545,485734,2040877,2040877,"Northeast Conference",2
"146","Seattle",0.545,1002900,2681442,2681442,"Western Athletic Conference",2
"147","Weber State",0.545,442466,1913406,1913406,"Big Sky Conference",2
"148","Indiana",0.543,2647513,27008415,13230211,"Big Ten Conference",1
"149","Louisiana-Monroe",0.543,184268,1591652,1667122,"Sun Belt Conference",2
"150","North Dakota State ",0.543,543976,1720634,1720634,"The Summit League",2
"151","Xavier",0.543,2649167,13916975,7406374,"Big East Conference",3
"152","Texas-Rio Grande Valley",0.541,619108,1652983,1652983,"Western Athletic Conference",2
"153","Arizona",0.531,3419410,22437254,10383630,"Pac-12 Conference",1
"154","Southern Illinois",0.531,740924,2482549,2482549,"Missouri Valley Conference",2
"155","Texas-San Antonio",0.531,611901,2239480,2239480,"Conference USA",2
"156","Alabama",0.529,1457096,16028795,15966875,"Southeastern Conference",3
"157","Arkansas",0.529,2052699,21424702,10440326,"Southeastern Conference",3
"158","Cal State Bakersfield",0.529,578593,2714877,2333990,"Western Athletic Conference",2
"159","Charleston Southern",0.529,351197,1243917,1243917,"Big South Conference",2
"160","North Carolina Central ",0.529,66291,1710811,1710811,"Mid-Eastern Athletic Conf.",2
"161","Providence",0.529,2320592,11117186,11117186,"Big East Conference",3
"162","St. Bonaventure",0.529,828026,3832105,3832105,"Atlantic 10 Conference",2
"163","DePaul",0.528,1166869,6793520,6793520,"Big East Conference",3
"164","Nebraska",0.528,1964941,15042854,9180631,"Big Ten Conference",3
"165","California Baptist",0.516,417881,2555371,2503353,"Western Athletic Conference",2
"166","High Point",0.516,480994,3457345,3369936,"Big South Conference",2
"167","Quinnipiac",0.516,261722,3203013,3203013,"Metro Atlantic Athletic Conference",2
"168","Rider",0.516,378711,2508228,2508228,"Metro Atlantic Athletic Conference",2
"169","Santa Clara",0.516,364113,4445480,4445480,"West Coast Conference",2
"170","Akron",0.515,752096,3045115,3045115,"Mid-American Conference",2
"171","Delaware",0.515,506915,2785559,2785559,"Colonial Athletic Association",2
"172","Florida Atlantic",0.515,446857,2352069,2352069,"Conference USA",2
"173","Illinois State",0.515,443952,2440752,2440752,"Missouri Valley Conference",2
"174","Iona ",0.515,549745,2881346,2881346,"Metro Atlantic Athletic Conference",2
"175","Samford",0.515,349587,1917385,1917384,"Southern Conference",2
"176","Siena",0.515,1184716,3219292,3219292,"Metro Atlantic Athletic Conference",2
"177","Southeastern Louisiana",0.515,209110,1172241,1172241,"Southland Conference",2
